paper_id,doi,title,candidate_url,candidate_source,candidate_source_type,expected_content_type,access_route,is_open_access,institutional_access_possible,source_priority,candidate_priority,source_discovery_method,notes
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,previous_manifest,publisher_landing_page,html_or_pdf,unknown,unclear,unknown,50,50,previous_manifest_source_url,Previously recorded source path or URL.
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,https://doi.org/10.1016/0021-9517(85)90320-3,doi_resolver,doi_landing_page,html,doi_landing,no,unknown,45,45,doi_from_candidate_pool,"DOI resolver landing page. Useful for discovery, but not enough for experimental extraction by itself."
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,manual://paper_0007,manual_required,manual_required,pdf_or_html,manual_required,unclear,unknown,1,1,fallback_manual_request,Fallback row for manual legal PDF/HTML acquisition if automatic direct access fails.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2010.10.053/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,pdf,institutional_access,unclear,yes,85,85,publisher_doi_pattern,ScienceDirect PDF pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\10.1016_j.ijhydene.2010.10.053.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\paper_0099.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\paper_0099_10.1016_j.ijhydene.2010.10.053.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,data\raw\pdfs\paper_0099_catalytic_performance_of_ni_catalysts_for_steam_reforming_of_methane_at_high_spa.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2010.10.053,sciencedirect,publisher_landing_page,html,publisher_landing,unclear,yes,65,65,publisher_doi_pattern,ScienceDirect landing pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://doi.org/10.1016/j.ijhydene.2010.10.053,openalex_location,publisher_landing_page,html,publisher_landing,no,unknown,62,62,openalex_live_location,OpenAlex landing_page_url from International Journal of Hydrogen Energy.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://doi.org/10.1016/j.ijhydene.2010.10.053,openalex_location,openalex_location,html_or_pdf,unknown,no,unknown,58,58,openalex_raw_metadata,URL from local OpenAlex raw metadata.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/plain,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/plain; intended=text-mining.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/xml; intended=text-mining.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,previous_manifest,publisher_landing_page,html_or_pdf,unknown,unclear,unknown,50,50,previous_manifest_source_url,Previously recorded source path or URL.
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,https://doi.org/10.1016/j.ijhydene.2010.10.053,doi_resolver,doi_landing_page,html,doi_landing,no,unknown,45,45,doi_from_candidate_pool,"DOI resolver landing page. Useful for discovery, but not enough for experimental extraction by itself."
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,manual://paper_0099,manual_required,manual_required,pdf_or_html,manual_required,unclear,unknown,1,1,fallback_manual_request,Fallback row for manual legal PDF/HTML acquisition if automatic direct access fails.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,data\raw\pdfs\paper_0101.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,120,120,local_manual_pdf_path,Local legally obtained PDF path. File exists and should be checked before network fetching.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://www.sciencedirect.com/science/article/pii/j.apcatb.2010.10.026/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,pdf,institutional_access,unclear,yes,85,85,publisher_doi_pattern,ScienceDirect PDF pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,data\raw\pdfs\10.1016_j.apcatb.2010.10.026.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,data\raw\pdfs\paper_0101_10.1016_j.apcatb.2010.10.026.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,data\raw\pdfs\paper_0101_effect_of_nickel_nano_particle_sintering_on_methane_reforming_activity_of_ni_cgo.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://www.sciencedirect.com/science/article/pii/j.apcatb.2010.10.026,sciencedirect,publisher_landing_page,html,publisher_landing,unclear,yes,65,65,publisher_doi_pattern,ScienceDirect landing pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://doi.org/10.1016/j.apcatb.2010.10.026,openalex_location,publisher_landing_page,html,publisher_landing,no,unknown,62,62,openalex_live_location,OpenAlex landing_page_url from Applied Catalysis B: Environmental.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://doi.org/10.1016/j.apcatb.2010.10.026,openalex_location,openalex_location,html_or_pdf,unknown,no,unknown,58,58,openalex_raw_metadata,URL from local OpenAlex raw metadata.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://api.elsevier.com/content/article/PII:S092633731000473X?httpAccept=text/plain,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/plain; intended=text-mining.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://api.elsevier.com/content/article/PII:S092633731000473X?httpAccept=text/xml,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/xml; intended=text-mining.
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,https://doi.org/10.1016/j.apcatb.2010.10.026,doi_resolver,doi_landing_page,html,doi_landing,no,unknown,45,45,doi_from_candidate_pool,"DOI resolver landing page. Useful for discovery, but not enough for experimental extraction by itself."
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,manual://paper_0101,manual_required,manual_required,pdf_or_html,manual_required,unclear,unknown,1,1,fallback_manual_request,Fallback row for manual legal PDF/HTML acquisition if automatic direct access fails.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,https://www.sciencedirect.com/science/article/pii/j.cej.2011.01.036/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,pdf,institutional_access,unclear,yes,85,85,publisher_doi_pattern,ScienceDirect PDF pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,data\raw\pdfs\10.1016_j.cej.2011.01.036.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,data\raw\pdfs\paper_0124.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,data\raw\pdfs\paper_0124_10.1016_j.cej.2011.01.036.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,data\raw\pdfs\paper_0124_thermal_and_hydrothermal_stability_of_a_metal_monolithic_anodic_alumina_support_.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,https://www.sciencedirect.com/science/article/pii/j.cej.2011.01.036,sciencedirect,publisher_landing_page,html,publisher_landing,unclear,yes,65,65,publisher_doi_pattern,ScienceDirect landing pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,https://doi.org/10.1016/j.cej.2011.01.036,openalex_location,publisher_landing_page,html,publisher_landing,no,unknown,62,62,openalex_live_location,OpenAlex landing_page_url from Chemical Engineering Journal.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,https://doi.org/10.1016/j.cej.2011.01.036,openalex_location,openalex_location,html_or_pdf,unknown,no,unknown,58,58,openalex_raw_metadata,URL from local OpenAlex raw metadata.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,https://api.elsevier.com/content/article/PII:S1385894711000635?httpAccept=text/plain,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/plain; intended=text-mining.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,https://api.elsevier.com/content/article/PII:S1385894711000635?httpAccept=text/xml,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/xml; intended=text-mining.
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,https://doi.org/10.1016/j.cej.2011.01.036,doi_resolver,doi_landing_page,html,doi_landing,no,unknown,45,45,doi_from_candidate_pool,"DOI resolver landing page. Useful for discovery, but not enough for experimental extraction by itself."
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,manual://paper_0124,manual_required,manual_required,pdf_or_html,manual_required,unclear,unknown,1,1,fallback_manual_request,Fallback row for manual legal PDF/HTML acquisition if automatic direct access fails.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,data\raw\pdfs\paper_0150.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,120,120,local_manual_pdf_path,Local legally obtained PDF path. File exists and should be checked before network fetching.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2015.06.104/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,pdf,institutional_access,unclear,yes,85,85,publisher_doi_pattern,ScienceDirect PDF pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,data\raw\pdfs\10.1016_j.ijhydene.2015.06.104.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,data\raw\pdfs\paper_0150_10.1016_j.ijhydene.2015.06.104.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,data\raw\pdfs\paper_0150_hydrogen_production_by_steam_reforming_of_methane_over_mixed_ni_mgal_crfe_3_o_4_.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2015.06.104,sciencedirect,publisher_landing_page,html,publisher_landing,unclear,yes,65,65,publisher_doi_pattern,ScienceDirect landing pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,https://doi.org/10.1016/j.ijhydene.2015.06.104,openalex_location,publisher_landing_page,html,publisher_landing,no,unknown,62,62,openalex_live_location,OpenAlex landing_page_url from International Journal of Hydrogen Energy.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,https://doi.org/10.1016/j.ijhydene.2015.06.104,openalex_location,openalex_location,html_or_pdf,unknown,no,unknown,58,58,openalex_raw_metadata,URL from local OpenAlex raw metadata.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,https://api.elsevier.com/content/article/PII:S036031991501589X?httpAccept=text/plain,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/plain; intended=text-mining.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,https://api.elsevier.com/content/article/PII:S036031991501589X?httpAccept=text/xml,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/xml; intended=text-mining.
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,https://doi.org/10.1016/j.ijhydene.2015.06.104,doi_resolver,doi_landing_page,html,doi_landing,no,unknown,45,45,doi_from_candidate_pool,"DOI resolver landing page. Useful for discovery, but not enough for experimental extraction by itself."
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,manual://paper_0150,manual_required,manual_required,pdf_or_html,manual_required,unclear,unknown,1,1,fallback_manual_request,Fallback row for manual legal PDF/HTML acquisition if automatic direct access fails.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,data\raw\pdfs\paper_0157.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,120,120,local_manual_pdf_path,Local legally obtained PDF path. File exists and should be checked before network fetching.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,https://www.sciencedirect.com/science/article/pii/j.fuel.2016.03.104/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,pdf,institutional_access,unclear,yes,85,85,publisher_doi_pattern,ScienceDirect PDF pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,data\raw\pdfs\10.1016_j.fuel.2016.03.104.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,data\raw\pdfs\paper_0157_10.1016_j.fuel.2016.03.104.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,data\raw\pdfs\paper_0157_characterization_and_performance_evaluation_of_ni_based_catalysts_with_ce_promot.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,https://www.sciencedirect.com/science/article/pii/j.fuel.2016.03.104,sciencedirect,publisher_landing_page,html,publisher_landing,unclear,yes,65,65,publisher_doi_pattern,ScienceDirect landing pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,https://doi.org/10.1016/j.fuel.2016.03.104,openalex_location,publisher_landing_page,html,publisher_landing,no,unknown,62,62,openalex_live_location,OpenAlex landing_page_url from Fuel.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,https://doi.org/10.1016/j.fuel.2016.03.104,openalex_location,openalex_location,html_or_pdf,unknown,no,unknown,58,58,openalex_raw_metadata,URL from local OpenAlex raw metadata.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,https://api.elsevier.com/content/article/PII:S0016236116301533?httpAccept=text/plain,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/plain; intended=text-mining.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,https://api.elsevier.com/content/article/PII:S0016236116301533?httpAccept=text/xml,crossref_link,crossref_link,html_or_pdf,unknown,unclear,unknown,56,56,crossref_live_link,Crossref link content-type=text/xml; intended=text-mining.
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,https://doi.org/10.1016/j.fuel.2016.03.104,doi_resolver,doi_landing_page,html,doi_landing,no,unknown,45,45,doi_from_candidate_pool,"DOI resolver landing page. Useful for discovery, but not enough for experimental extraction by itself."
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,manual://paper_0157,manual_required,manual_required,pdf_or_html,manual_required,unclear,unknown,1,1,fallback_manual_request,Fallback row for manual legal PDF/HTML acquisition if automatic direct access fails.
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,data\raw\pdfs\paper_0159.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,120,120,local_manual_pdf_path,Local legally obtained PDF path. File exists and should be checked before network fetching.
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,https://www.sciencedirect.com/science/article/pii/j.ijhydene.2016.05.109/pdfft?isDTMRedir=true&download=true,sciencedirect,institutional_pdf,pdf,institutional_access,unclear,yes,85,85,publisher_doi_pattern,ScienceDirect PDF pattern from DOI suffix. This only uses normal direct URLs and does not bypass access controls.
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,data\raw\pdfs\10.1016_j.ijhydene.2016.05.109.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,data\raw\pdfs\paper_0159_10.1016_j.ijhydene.2016.05.109.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,data\raw\pdfs\paper_0159_effect_of_calcination_temperature_on_stability_and_activity_of_ni_mgal2o4_cataly.pdf,local_manual_pdf,local_pdf,pdf,local_pdf,unclear,no,65,65,local_manual_pdf_path,Local legally obtained PDF path. Candidate path for manual PDF placement.
